order_id,order_date,customer_id,product,quantity,unit_price,city,state
A1001,1/22/2025,C235,Cashews,2,7,San Antonio,TX
A1002,1/30/2025,C1249,Broccoli,5,1.8,Arlington,TX
A1003,3/11/2025,C574,Chana Dal,5,4.4,Corpus Christi,TX
A1004,3/26/2025,C235,Protein Bar,1,2.5,San Antonio,TX
A1005,2/24/2025,C591,Almonds,6,5.75,Houston,TX
A1006,1/9/2025,C327,Chana Dal,6,4.4,Fort Worth,TX
A1007,3/14/2025,C863,Soya Chunks,9,2.9,Austin,TX
A1008,3/30/2025,C1201,Quinoa,5,6.25,Frisco,TX
A1009,3/7/2025,C1317,Soya Chunks,5,2.9,Dallas,TX
A1010,2/10/2025,C1036,Soya Chunks,3,2.9,Arlington,TX
A1011,4/1/2025,C1415,Chana Dal,9,4.4,Houston,TX
A1012,2/8/2025,C1097,Green Tea,4,4,Houston,TX
A1013,1/24/2025,C721,Soya Chunks,10,2.9,Arlington,TX
A1014,3/29/2025,C333,Quinoa,2,6.25,Fort Worth,TX
A1015,2/17/2025,C1493,Broccoli,9,1.8,Dallas,TX
A1016,1/27/2025,C1331,Green Tea,9,4,Houston,TX
A1017,3/14/2025,C1422,Broccoli,4,1.8,Plano,TX
A1018,3/23/2025,C1298,Cashews,2,7,Austin,TX
A1019,2/4/2025,C1221,Quinoa,7,6.25,Arlington,TX
A1020,3/28/2025,C343,Cashews,1,7,Arlington,TX
A1021,2/21/2025,C1402,Broccoli,7,1.8,Plano,TX
A1022,2/1/2025,C1033,Soya Chunks,4,2.9,Houston,TX
A1023,2/14/2025,C1292,Chia Seeds,6,8.5,Frisco,TX
A1024,3/19/2025,C1146,Chia Seeds,2,8.5,Corpus Christi,TX
A1025,3/3/2025,C623,Oats,6,3,Corpus Christi,TX
A1026,2/7/2025,C910,Chia Seeds,1,8.5,El Paso,TX
A1027,2/13/2025,C961,Chana Dal,1,4.4,Austin,TX
A1028,1/16/2025,C1122,Almonds,6,5.75,Austin,TX
A1029,1/28/2025,C087,Oats,2,3,Houston,TX
A1030,1/8/2025,C1094,Chia Seeds,1,8.5,El Paso,TX
A1031,2/25/2025,C109,Almonds,8,5.75,Dallas,TX
A1032,3/12/2025,C1487,Almonds,4,5.75,Houston,TX
A1033,1/17/2025,C1192,Soya Chunks,7,2.9,Houston,TX
A1034,1/29/2025,C1329,Almonds,9,5.75,Arlington,TX
